,Base Website,Scraped Page,Page Type,Emails,Phone Numbers
0,http://www.adelafararova.cz/,http://www.adelafararova.cz/,main,255akleda77@gmail.comPal,"613 3827 66, 776 871 255, 670100-221, +420 776 871 255"
1,http://www.adelafararova.cz/,http://www.adelafararova.cz/#kontakt,contact,255akleda77@gmail.comPal,"776 871 255, 670100-221, +420 776 871 255"
2,http://www.adelafararova.cz/,http://www.adelafararova.cz/template/contact,contact,255akleda77@gmail.comPal,"613 3827 66, +420 776 871 255"
3,http://www.ckp-dobrichovice.cz,http://www.ckp-dobrichovice.cz,main,"seminare@ckp-dobrichovice.cz, info@ckp-dobrichovice.cz","+420 777 773 014, +420 775 603 573, +420 773 339 916, +420 723 603 600"
4,http://www.ckp-dobrichovice.cz,https://www.ckp-dobrichovice.cz/kontakt/,contact,info@ckp-dobrichovice.cz,"+420 773 339 916, +420 723 603 600"
5,http://www.ckp-dobrichovice.cz,https://www.ckp-dobrichovice.cz/seminarove-kontaky/,contact,seminare@ckp-dobrichovice.cz,"+420 777 773 014, +420 775 603 573"
6,http://kralupy.charita.cz/,http://kralupy.charita.cz/,main,centrum@nasefarnost.cz,"018201720, 162015201, 606 613 018, 202220212, 644253021, 606 613 018"
7,http://kralupy.charita.cz/,http://kralupy.charita.cz/kontakty/,contact,centrum@nasefarnost.cz,"018201720, 162015201, 606 613 018, 644253021, 202220212, 606 613 018"
8,http://www.michaelord.eu/,http://www.michaelord.eu/,main,mudr.michutova@seznam.cz,+420 777 780 255
9,http://www.michaelord.eu/,http://www.michaelord.eu/#contact,contact,mudr.michutova@seznam.cz,+420 777 780 255
10,http://www.neposeda.org,http://www.neposeda.org,main,"jana@neposeda.org, melanie@neposeda.org, enter@neposeda.org, resetcentrum@neposeda.org, bydleni@neposeda.org, janah@neposeda.org, info@neposeda.org, krizovatka@neposeda.org, hopaci@neposeda.org, autobus@neposeda.org, janam@neposeda.org","778 538 275, 778 538 252, 200072574, 774 058 127, 733 182 520"
11,http://www.neposeda.org,https://neposeda.org/#kontakt,contact,"bydleni@neposeda.org, autobus@neposeda.org, janah@neposeda.org, info@neposeda.org, janam@neposeda.org, jana@neposeda.org, krizovatka@neposeda.org, hopaci@neposeda.org, melanie@neposeda.org, enter@neposeda.org, resetcentrum@neposeda.org","778 538 275, 778 538 252, 200072574, 774 058 127, 733 182 520"
12,http://psychologuh.cz/,http://psychologuh.cz/,main,psychologie@nemuh.czMgr,"572 529 854, 572 529 852, 572 529 954"
13,http://www.medsix.cz,http://www.medsix.cz,main,,"483 341 290, 483 341 241, 483 341 225, 483 317 222, 702 956 482, 483 341 253, 483 341 219, 731 175 824, 483 341 224, 483 341 307, 483 341 218, 483 310 919, 483 341 222, 775364402, 483 341 308, 483 341 267, 483 341 232, 483 341 254, 483 341 275, 483 341 237, 777 245 860, 734 262 292, 483 341 111, 483 341 259, 483 341 217, 483 341 220, 483 341 226, 483 341 306, 725 794 446, 483 306 075, 483 341 231, 483 300 087, 481 120 478, 483 341 234, 483 341 302, 773 226 753"
14,http://www.medsix.cz,http://www.medsix.cz/web/jpol.html,contact,,
15,http://www.cheiront.cz,http://www.cheiront.cz,main,"organizacevarga@cheiront.cz, brabcova@cheiront.cz, tmibenakovapilzova@cheiront.cz, tmigruber@cheiront.cz, kremen@cheiront.cz, zemanova@cheiront.cz, karasova@cheiront.cz, tmivycichlova@cheiront.cz, esebankova@cheiront.cz, tuhackova@cheiront.cz, erkaseidlova@cheiront.cz, kramolisova@cheiront.cz, cheiront@cheiront.cz, duskova@cheiront.cz, tmikacirkova@cheiront.cz, krecanova@cheiront.cz, rcecilkova@cheiront.cz, specialistkamikova@cheiront.cz","200041300, +420 775 407 455, +420 603 526 246, +420 777 683 338, +420 777 128 591, +420 608 881 716, 775 251 695, +420 778 099 786, +420 775 959 236, 997874026, +420 775 845 300, +420 608 460 868, +420 735 828 577, +420 778 000 382, +420 607 033 757, 774 796 336"
16,http://www.cheiront.cz,http://www.cheiront.cz/o-nas,contact,,
17,http://www.cheiront.cz,http://www.cheiront.cz/kontakt,contact,"tmivycichlova@cheiront.cz, tmikacirkova@cheiront.cz, organizacevarga@cheiront.cz, krecanova@cheiront.cz, esebankova@cheiront.cz, brabcova@cheiront.cz, tmibenakovapilzova@cheiront.cz, erkaseidlova@cheiront.cz, tmigruber@cheiront.cz, kramolisova@cheiront.cz, tuhackova@cheiront.cz, kremen@cheiront.cz, zemanova@cheiront.cz, duskova@cheiront.cz, cheiront@cheiront.cz, karasova@cheiront.cz, rcecilkova@cheiront.cz, specialistkamikova@cheiront.cz","200041300, +420 775 407 455, +420 603 526 246, +420 777 683 338, +420 777 128 591, +420 608 460 868, +420 608 881 716, +420 735 828 577, 775 251 695, +420 778 099 786, +420 775 959 236, 997874026, +420 778 000 382, +420 607 033 757, +420 775 845 300, 774 796 336"
18,http://www.cheiront.cz/,http://www.cheiront.cz/,main,"organizacevarga@cheiront.cz, brabcova@cheiront.cz, tmibenakovapilzova@cheiront.cz, tmigruber@cheiront.cz, kremen@cheiront.cz, zemanova@cheiront.cz, karasova@cheiront.cz, tmivycichlova@cheiront.cz, esebankova@cheiront.cz, tuhackova@cheiront.cz, erkaseidlova@cheiront.cz, kramolisova@cheiront.cz, cheiront@cheiront.cz, duskova@cheiront.cz, tmikacirkova@cheiront.cz, krecanova@cheiront.cz, rcecilkova@cheiront.cz, specialistkamikova@cheiront.cz","200041300, +420 775 407 455, +420 603 526 246, +420 777 683 338, +420 777 128 591, +420 608 881 716, 775 251 695, +420 778 099 786, +420 775 959 236, 997874026, +420 775 845 300, +420 608 460 868, +420 735 828 577, +420 778 000 382, +420 607 033 757, 774 796 336"
19,http://www.cheiront.cz/,http://www.cheiront.cz/o-nas,contact,,
