Website,Emails,Phone Numbers
https://www.prostor-plus.cz,info@prostor-plus.cz,+420 317 471 740
https://www.spirala-ul.cz,,"475 603 390, 475 511 811, 200258360"
https://www.kromeriz.charita.cz/sluzby/socialni-poradna/,"jan.kapounek@kromeriz.charita.cz, socialni.poradna@kromeriz.charita.cz","734 780 221, 733 755 847, 732 518 381, 733 741 666"
https://www.uhbrod.charita.cz/socialni-sluzby/odborne-socialni-poradenstvi/,info@uhbrod.charita.cz,"+420 703 498 546, 572 630 648, +420 735 713 786"
https://www.proximasociale.cz,,+420 241 770 232
https://www.navstevalekare.cz/lekari/psychiatr--psychiatrie-s51017/jihocesky-kraj-k300/cesky-krumlov-o501.html,,
https://www.znamylekar.cz/marketa-rousalova/psychiatr/ceske-budejovice,,
proximity.unas.cz,,
https://www.fnhk.cz/psych/kliniky-ambulance.html,,"+420 495 832 597, +420 495 833 783, +420 495 832 410, +420 495 833 365, +420 495 833 746, +420 495 383 456, +420 495 832 221, +420 495 834 933, +420 495 834 934, +420 495 832 874, +420 495 833 232, +420 495 833 823, +420 495 832 317, +420 495 831 111"
https://www.psychocentrumdomecek.cz,,
https://www.pnbrno.cz/centrum-dusevniho-zdravi/,,737 390 737
https://www.psychordinace.cz/,,"+420 371 430 090, 371 430 090"
https://www.psychologie-stein.cz/index.php,,+420 602 406 538
https://www.idomino.eu,,224411000160
https://www.otrokovice.charita.cz/sluzba/114/,reditel@otrokovice.charita.cz,"157847401888, 202120222023, 734 435 004, 124883044, 577112031, 734 435 003"
https://www.u-kryt.cz,martin.dubcak@seznam.cz,739 584 077
https://www.psyche.cz/cdz,,"739 027 220, 581 209 622, 605 594 259, 730 155 209, 771 192 929, 581 204 437, 777 929 291, 730 179 213, 736 750 308, 733 125 733, 583 035 220, 603 408 431, 731 656 096, 731 417 356, 730 155 210, 731 501 999, 730 179 214, 581 204 438, 734 123 772, 777 929 203, 777 929 218, 773 381 583"
https://www.ulita.cz,recepce@ulita.cz,"250048234, 222 990 330, 200018383"
psyche-centrum.cz,,
https://www.poliklinika-km.cz/psychiatrie/,,573 338 786
https://www.zlatestranky.cz/profil/H691323,barbora.zahradnikova@seznam.cz,+420 354 430 001
https://www.psychologiekolin.cz/,"info@ordinacepsychologie.cz, info@psychologiekolin.cz, ordinacepsychologie@gmail.comTel",+420 725 322 635
mb-psychoterapie.cz,,
https://www.psychemedic.cz/,,"577 042 163, +420 577 220 899"
https://www.psychologicka-ordinace-janovska.cz/,"301mgr.zuzana.janovska@gmail.comN, mgr.zuzana.janovska@gmail.com","+420 732 976 301, 588 442
276, 588 442 843, 588 443 519, 588 443 509"
https://www.psychiatrie-maskova.cz,"andrea.maskova@seznam.cz, info@domovsrdcem.cz, rypalova.m@alzheimerporadnavysocina.cz","+420 733 352 215, +420 569 445 227, +420 733 629 018, +420 605 788 109, +420 605 788 109, +420 608 807 733, +420 561 111 323, +420 605 764 332"
https://www.lecbaduse.cz/,,
https://www.psychoterapie-ostrava-praha.cz/Praha.php,psychologiejarov@gmail.com,
https://www.hipojupiter.cz,"info@hipojupiter.czJak, klubInstagraminfo@hipojupiter.czWeb",260098099
https://www.fokuslabe.cz/centra-dusevniho-zdravi/centrum-dusevniho-zdravi-usti-nad-labem/,,
https://www.oskvetina.cz,info@oskvetina.cz,+420 721 568 898
https://www.od5k10.cz,info@od5k10.cz,"260044580, +420 728 939 412, +420 778 965 814"
https://www.psychiatriestrakonice.cz/,,
https://www.psychoterapiehk.cz,cibulkova@slea.cz,"736 788 346, 670100-222270, +420 736 788 346"
