,Base Website,Scraped Page,Page Type,Emails,Phone Numbers
0,https://www.fokuslabe.cz,https://www.fokuslabe.cz,main,"teplice@fokuslabe.czDocument, fokus@fokuslabe.cz, bydleniusti@fokuslabe.czDocument, prace@fokuslabe.czDocument, decin@fokuslabe.czDocument, zatec@fokuslabe.czDocument, litomerice@fokuslabe.czDocument, detiusti@fokuslabe.czDocument, prace@fokuslabe.czSKUPINY, chomutov@fokuslabe.czDocument, usti@fokuslabe.czDocument, most@fokuslabe.czDocument","730 891 498, 603 863 071, 730 158 910, 731 449 459, 733 184 376, 886879359, 730 512 887, 733 184 244, 733 184 386, 733 184 388, 472 745 159, 603 908 232, 730 895 084, 739 048 777, 730 515 759, 736 417 808, 732 761 266, 733 184 245"
1,https://www.fokuslabe.cz,https://www.fokuslabe.cz/kontakty,contact,"teplice@fokuslabe.czDocument, fokus@fokuslabe.cz, bydleniusti@fokuslabe.czDocument, prace@fokuslabe.czDocument, decin@fokuslabe.czDocument, zatec@fokuslabe.czDocument, litomerice@fokuslabe.czDocument, detiusti@fokuslabe.czDocument, prace@fokuslabe.czSKUPINY, chomutov@fokuslabe.czDocument, usti@fokuslabe.czDocument, most@fokuslabe.czDocument","730 891 498, 733 184 388, 603 863 071, 472 745 159, 603 908 232, 730 158 910, 730 895 084, 733 184 376, 739 048 777, 736 417 808, 886879359, 730 515 759, 731 449 459, 732 761 266, 730 512 887, 733 184 244, 733 184 386, 733 184 245"
2,https://www.fokuslabe.cz,https://www.fokuslabe.cz/o-nas,contact,,
3,https://www.animaviva.cz,https://www.animaviva.cz,main,"poradna@animaviva.cz, koordinator.zamozp@animaviva.cz, asistentka@animaviva.cz, centrum.opava@animaviva.cz, manazer.opava@animaviva.cz","553 821 301, 737 500 030, 420776738, 739 404 544, 731 177 812, 739 404 488"
4,https://www.animaviva.cz,https://www.animaviva.cz/kontakt,contact,"poradna@animaviva.cz, asistentka@animaviva.cz, centrum.opava@animaviva.cz, koordinator.zamozp@animaviva.cz, manazer.opava@animaviva.cz","553 821 301, 737 500 030, 739 404 544, 739 404 488, 420776738, 731 177 812"
5,https://psychoterapie-pe.cz/index.html,https://psychoterapie-pe.cz/index.html,main,info@psychoterapie-pe.cz,+420 723 713 052
6,https://psychoterapie-pe.cz/index.html,https://psychoterapie-pe.cz/kontakt.html,contact,info@psychoterapie-pe.cz,+420 723 713 052
7,https://kbterapie.webnode.cz/,https://kbterapie.webnode.cz/,main,KBTerapie@email.czI,724 511 303
8,https://kbterapie.webnode.cz/,https://kbterapie.webnode.cz/kontakt/,contact,KBTerapie@email.czI,724 511 303
9,https://www.optrebic.cz/,https://www.optrebic.cz/,main,,"606 021 577, 724 304 718, 777 720 165, 568 845 348"
10,https://www.optrebic.cz/,https://www.optrebic.cz/kontakt/kontaktni-formular/,contact,,"724 304 718, 777 720 165, 606 021 577, 568 845 348"
11,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u,main,,+420 603 997 033
12,https://firmy.hradeckralove.cz/firma-psychoterapeuticke-centrum-mudr-elena-krivkova-33806/#ixzz6jVYeQm5u,https://www.hradeckralove.cz/kontakt-23/,contact,,
13,https://www.koparkovamonika.cz/,https://www.koparkovamonika.cz/,main,mkoparkova@gmail.com,"608245698, +420 608 245 698, +420 354 433 674"
14,http://rodinnaporadna-strakonice.cz/index.htm,http://rodinnaporadna-strakonice.cz/index.htm,main,poradna@ops-poradnastrakonice.cz,727 809 070
15,https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html,https://www.firmy.cz/detail/479833-mudr-lubomir-hadas-hradec-kralove.html,main,948E-maillubomir.hadas@seznam.czI,"+420 605 714 948, 725 048 038"
16,https://www.psychoporadnahk.cz,https://www.psychoporadnahk.cz,main,Pulpanova.L@seznam.cz,732 170 292
17,https://www.psychoporadnahk.cz,https://www.psychoporadnahk.cz/kontakty.html,contact,Pulpanova.L@seznam.cz,732 170 292
18,https://psychologvsetin.cz/,https://psychologvsetin.cz/,main,info@psychologvsetin.cz,605 224 454
19,https://psychologvsetin.cz/,https://psychologvsetin.cz/#kontakt,contact,info@psychologvsetin.cz,605 224 454
20,https://www.psychologiekv.cz/,https://www.psychologiekv.cz/,main,info@psychologiekv.cz,"+420 725 159 302, 022-0042-85, +420 725 159 302, +420 608 237 981"
21,https://www.psychologiekv.cz/,https://www.psychologiekv.cz/o-nas/,contact,,022-0042-85
22,https://www.psychologiekv.cz/,https://www.psychologiekv.cz/kontakt/,contact,info@psychologiekv.cz,"+420 725 159 302, +420 608 237 981"
23,https://www.ekatalog.cz/firma/265781-honova-marcela-mudr/,https://www.ekatalog.cz/firma/265781-honova-marcela-mudr/,main,,"269462662, 777 714 121"
24,https://www.ekatalog.cz/firma/265781-honova-marcela-mudr/,https://www.ekatalog.cz/kontakty/,contact,,269462662
25,https://www.ekatalog.cz/firma/265781-honova-marcela-mudr/,https://www.ekatalog.cz/o-nas/,contact,,777 714 121
26,http://www.centrum-poradenstvi.cz,http://www.centrum-poradenstvi.cz,main,"poradna.uh@centrum-poradenstvi.cz, info@centrum-poradenstvi.cz, poradna.kromeriz@centrum-poradenstvi.cz, poradna.zlin@centrum-poradenstvi.czKonzulta, ic@centrum-poradenstvi.cz, cnrp@centrum-poradenstvi.cz, poradna.vsetin@centrum-poradenstvi.cz","192458025, 775 760 785, 572 555 330, 577 210 809, 775 760 719, 577 018 265, 771 219 150, 577 012 671, 775 760 789, 775 760 798, 571 818 515, 573 340 131, 774 405 682, 608 885 027, 777 219 150, 777 219 150, 5208760 01, 775 760 799, 577 018 265"
27,http://www.centrum-poradenstvi.cz,http://www.centrum-poradenstvi.cz/domains/centrum-poradenstvi.cz/o-nas.htm,contact,info@centrum-poradenstvi.cz,"192458025, 777 219 150, 577 210 809, 5208760 01, 577 018 265"
28,http://www.centrum-poradenstvi.cz,http://www.centrum-poradenstvi.cz/domains/centrum-poradenstvi.cz/kontakty.htm,contact,"poradna.uh@centrum-poradenstvi.cz, info@centrum-poradenstvi.cz, poradna.kromeriz@centrum-poradenstvi.cz, poradna.zlin@centrum-poradenstvi.czKonzulta, ic@centrum-poradenstvi.cz, cnrp@centrum-poradenstvi.cz, poradna.vsetin@centrum-poradenstvi.cz","775 760 785, 775 760 719, 577 018 265, 771 219 150, 571 818 515, 774 405 682, 777 219 150, 5208760 01, 192458025, 572 555 330, 577 210 809, 577 012 671, 775 760 789, 775 760 798, 573 340 131, 608 885 027, 777 219 150, 775 760 799, 577 018 265"
29,https://www.renadi.cz,https://www.renadi.cz,main,renadi@renadi.cz,"378123274, 536181516, 539 011 302, 605 329 892, 265151387, 602 461 962, 602 392 792, 210032164, 721 911 520, 725 550 585, 721 911 633"
30,https://www.renadi.cz,https://www.renadi.cz/cs/kontaktni-centrum,contact,,602 461 962
31,https://www.renadi.cz,https://www.renadi.cz/cs/kontakt,contact,renadi@renadi.cz,"539 011 302, 605 329 892, 602 461 962, 602 392 792, 210032164, 721 911 520, 725 550 585, 721 911 633"
